,pymonnto_fast_LIF.py,pymonntorch_fast_LIF_cpu.py,pymonntorch_fast_LIF_cuda.py,brian_LIF.py,brian_LIF_cpp.py,brian_LIF_gpu.py,annarchy_LIF_cpu.py,annarchy_LIF_cuda.py,nest_native_LIF.py
0,0.02903413772583,0.08822512626648,0.256323575973511,0.422190666198731,0.083748,0.017,0.025073289871216,0.036713838577271,0.330864191055298
1,0.029303550720215,0.08766508102417,0.26427173614502,0.411603450775147,0.084825,0.017,0.025582075119019,0.036798715591431,0.328411817550659
2,0.029358625411987,0.087985992431641,0.264897584915161,0.413482427597046,0.084253,0.017,0.027132511138916,0.03719425201416,0.333916902542114
3,0.029446601867676,0.086708307266235,0.256780624389648,0.416076183319092,0.08429,0.017,0.026175975799561,0.036422491073608,0.340051889419556
4,0.029327869415283,0.087108135223389,0.271488189697266,0.41365385055542,0.086008,0.017,0.026190757751465,0.035944223403931,0.325455665588379
5,0.029241800308228,0.0885488986969,0.243383646011353,0.413330078125,0.086948,0.017,0.026707410812378,0.037077903747559,0.351855039596558
6,0.029463529586792,0.087445020675659,0.247177839279175,0.42139458656311,0.08625,0.017,0.026790618896484,0.036722660064697,0.331714153289795
7,0.029255867004395,0.086700439453125,0.240260362625122,0.419987440109253,0.086086,0.017,0.026411056518555,0.03672456741333,0.328200817108154
8,0.029859304428101,0.08669924736023,0.254676580429077,0.419306516647339,0.086365,0.017,0.026046752929688,0.036442995071411,0.32845664024353
9,0.029327392578125,0.087061405181885,0.247352838516235,0.414954662322998,0.084828,0.017,0.026157140731812,0.036608695983887,0.337244987487793
