,script_name,size,time
83,brian_LIF.py,1000,0.194480895996094
94,brian_LIF.py,1500,0.237332820892334
105,brian_LIF.py,2000,0.29903244972229
116,brian_LIF.py,3000,0.524982213973999
127,brian_LIF.py,4000,0.826561689376831
138,brian_LIF.py,5000,1.23714065551758
149,brian_LIF.py,6000,1.72203183174133
160,brian_LIF.py,7000,2.34615993499756
171,brian_LIF.py,8000,2.9927921295166
182,brian_LIF.py,9000,4.08925724029541
193,brian_LIF.py,10000,5.14401841163635
203,brian_LIF.py,11000,6.21864533424377
213,brian_LIF.py,12000,7.50597286224365
223,brian_LIF.py,13000,8.67626309394836
232,brian_LIF.py,14000,10.0076444149017
241,brian_LIF.py,15000,11.4762670993805
3,brian_LIF_gpu.py,10,0.009
9,brian_LIF_gpu.py,20,0.009
15,brian_LIF_gpu.py,50,0.009
21,brian_LIF_gpu.py,100,0.009
27,brian_LIF_gpu.py,250,0.009
33,brian_LIF_gpu.py,500,0.01
39,brian_LIF_gpu.py,750,0.01
45,brian_LIF_gpu.py,1000,0.011
51,brian_LIF_gpu.py,1500,0.014
57,brian_LIF_gpu.py,2000,0.015
63,brian_LIF_gpu.py,3000,0.018
69,brian_LIF_gpu.py,4000,0.023
75,brian_LIF_gpu.py,5000,0.031
81,brian_LIF_gpu.py,6000,0.04
87,brian_LIF_gpu.py,7000,0.052
93,brian_LIF_gpu.py,8000,0.062
99,brian_LIF_gpu.py,9000,0.082
105,brian_LIF_gpu.py,10000,0.098
110,brian_LIF_gpu.py,11000,0.119
115,brian_LIF_gpu.py,12000,0.137
119,brian_LIF_gpu.py,13000,0.163
7,brian_LIF_cpp.py,10,0.001641
18,brian_LIF_cpp.py,20,0.00176
29,brian_LIF_cpp.py,50,0.002062
40,brian_LIF_cpp.py,100,0.002479
51,brian_LIF_cpp.py,250,0.004018
62,brian_LIF_cpp.py,500,0.00693
73,brian_LIF_cpp.py,750,0.010488
84,brian_LIF_cpp.py,1000,0.01807
95,brian_LIF_cpp.py,1500,0.032893
106,brian_LIF_cpp.py,2000,0.054569
117,brian_LIF_cpp.py,3000,0.12187
128,brian_LIF_cpp.py,4000,0.217159
139,brian_LIF_cpp.py,5000,0.344078
150,brian_LIF_cpp.py,6000,0.526413
161,brian_LIF_cpp.py,7000,0.746479
172,brian_LIF_cpp.py,8000,0.919323
183,brian_LIF_cpp.py,9000,1.20921
194,brian_LIF_cpp.py,10000,1.53893
204,brian_LIF_cpp.py,11000,1.84033
214,brian_LIF_cpp.py,12000,2.19282
224,brian_LIF_cpp.py,13000,2.61813
233,brian_LIF_cpp.py,14000,3.01174
242,brian_LIF_cpp.py,15000,3.49335
4,annarchy_LIF_cuda.py,10,0.004212617874146
10,annarchy_LIF_cuda.py,20,0.004333257675171
16,annarchy_LIF_cuda.py,50,0.004593849182129
22,annarchy_LIF_cuda.py,100,0.004828929901123
28,annarchy_LIF_cuda.py,250,0.006333112716675
34,annarchy_LIF_cuda.py,500,0.008252143859863
40,annarchy_LIF_cuda.py,750,0.01049280166626
46,annarchy_LIF_cuda.py,1000,0.014344692230225
52,annarchy_LIF_cuda.py,1500,0.020832538604736
58,annarchy_LIF_cuda.py,2000,0.028921604156494
64,annarchy_LIF_cuda.py,3000,0.045782804489136
70,annarchy_LIF_cuda.py,4000,0.066624641418457
76,annarchy_LIF_cuda.py,5000,0.091891288757324
82,annarchy_LIF_cuda.py,6000,0.120443820953369
88,annarchy_LIF_cuda.py,7000,0.152584552764893
94,annarchy_LIF_cuda.py,8000,0.186676740646362
100,annarchy_LIF_cuda.py,9000,0.225773572921753
106,annarchy_LIF_cuda.py,10000,0.267873525619507
111,annarchy_LIF_cuda.py,11000,0.312471866607666
116,annarchy_LIF_cuda.py,12000,0.363300323486328
120,annarchy_LIF_cuda.py,13000,0.417611598968506
123,annarchy_LIF_cuda.py,14000,0.473982095718384
126,annarchy_LIF_cuda.py,15000,0.531233310699463
5,annarchy_LIF_cpu.py,10,0.002259969711304
16,annarchy_LIF_cpu.py,20,0.002326250076294
27,annarchy_LIF_cpu.py,50,0.002412796020508
38,annarchy_LIF_cpu.py,100,0.002645492553711
49,annarchy_LIF_cpu.py,250,0.003686428070068
60,annarchy_LIF_cpu.py,500,0.004929304122925
71,annarchy_LIF_cpu.py,750,0.006138801574707
82,annarchy_LIF_cpu.py,1000,0.007766246795654
93,annarchy_LIF_cpu.py,1500,0.01234769821167
104,annarchy_LIF_cpu.py,2000,0.01816725730896
115,annarchy_LIF_cpu.py,3000,0.036696672439575
126,annarchy_LIF_cpu.py,4000,0.063294172286987
137,annarchy_LIF_cpu.py,5000,0.099394559860229
148,annarchy_LIF_cpu.py,6000,0.138953924179077
159,annarchy_LIF_cpu.py,7000,0.186654806137085
170,annarchy_LIF_cpu.py,8000,0.241714000701904
181,annarchy_LIF_cpu.py,9000,0.30898642539978
192,annarchy_LIF_cpu.py,10000,0.377325534820557
202,annarchy_LIF_cpu.py,11000,0.430429220199585
212,annarchy_LIF_cpu.py,12000,0.56517219543457
222,annarchy_LIF_cpu.py,13000,0.656896114349365
231,annarchy_LIF_cpu.py,14000,0.770905017852783
240,annarchy_LIF_cpu.py,15000,0.91409420967102
