,pymonnto_izh.py,pymonntorch_izh_cpu.py,pymonntorch_izh_cuda.py,brian_izh.py,brian_izh_cpp.py,brian_izh_cuda.py,annarchy_izh_cpu.py,annarchy_izh_cuda.py,pynn_nest_izh.py
0,0.095890283584595,0.308901071548462,0.863036632537842,0.892344236373901,0.274671,0.038,0.206613540649414,0.065145492553711,0.439169645309448
1,0.09295392036438,0.264397859573364,0.795201539993286,0.89456057548523,0.282294,0.038,0.204751014709473,0.066512823104858,0.438146591186523
2,0.096553325653076,0.267389059066772,0.901986360549927,0.884385347366333,0.30025,0.038,0.212113618850708,0.066004276275635,0.440906763076782
3,0.092911005020142,0.261546134948731,0.777437925338745,0.889465808868408,0.283117,0.038,0.207397222518921,0.064428806304932,0.441426515579224
4,0.091826438903809,0.265286922454834,0.859554767608643,0.917216300964356,0.289389,0.037,0.205581903457642,0.06385087966919,0.441395282745361
5,0.090085506439209,0.267946004867554,0.943246364593506,0.897333383560181,0.296998,0.038,0.215138673782349,0.066773653030396,0.437964677810669
6,0.094172477722168,0.262917757034302,0.78777813911438,0.899873971939087,0.287358,0.037,0.207757472991943,0.067692041397095,0.438023805618286
7,0.092339277267456,0.277621269226074,0.821037530899048,0.887032985687256,0.294996,0.039,0.214673042297363,0.068164587020874,0.438250064849854
8,0.09128212928772,0.267329931259155,0.781090259552002,0.892187595367431,0.293743,0.037,0.21544075012207,0.065266609191895,0.437816381454468
9,0.091525554656983,0.268668174743652,0.790873289108276,0.894875049591064,0.291964,0.038,0.207055568695068,0.065611124038696,0.438733100891113
