,pymonnto_fast_LIF.py,pymonntorch_fast_LIF_cpu.py,pymonntorch_fast_LIF_cuda.py,brian_LIF.py,brian_LIF_cpp.py,brian_LIF_gpu.py,annarchy_LIF_cpu.py,annarchy_LIF_cuda.py,nest_native_LIF.py
0,0.541511058807373,0.506969213485718,0.289767265319824,28.1085834503174,12.6425,0.745,2.80746746063232,0.390027046203613,10.8878879547119
1,0.534086465835571,0.49433970451355,0.271175622940063,17.5396704673767,12.6264,0.751,2.82414317131042,0.389976501464844,11.1604669094086
2,0.522298336029053,0.498967409133911,0.281076431274414,17.2808630466461,12.533,0.747,2.75759625434875,0.391894102096558,10.9070520401001
3,0.539181709289551,0.510140180587769,0.300602197647095,17.3170635700226,12.5894,0.743,2.77600288391113,0.39141845703125,11.2231805324554
4,0.534595251083374,0.505788087844849,0.263996362686157,17.4871616363525,12.299,0.746,2.81588959693909,0.389729738235474,10.9284811019897
5,0.535187244415283,0.523337125778198,0.269197225570679,17.3472681045532,12.5816,0.745,2.80239701271057,0.391583919525146,10.8520369529724
6,0.522535085678101,0.506808519363403,0.267646074295044,17.2481906414032,12.3031,0.75,2.7600212097168,0.392139911651611,10.9548857212067
7,0.496445178985596,0.468047857284546,0.289482116699219,17.0441107749939,12.2688,0.746,2.71295166015625,0.39275860786438,10.9019639492035
8,0.52666425704956,0.505006074905396,0.273515701293945,18.8181052207947,12.4647,0.744,2.79568433761597,0.391486406326294,10.8613467216492
9,0.521430253982544,0.511337280273438,0.290799617767334,17.3634471893311,12.2654,0.749,2.76812601089478,0.392200469970703,10.8870160579681
