,pymonnto_izh.py,pymonntorch_izh_cpu.py,pymonntorch_izh_cuda.py,brian_izh.py,brian_izh_cpp.py,brian_izh_cuda.py,annarchy_izh_cpu.py,annarchy_izh_cuda.py,pynn_nest_izh.py
0,13.5725374221802,11.7712249755859,1.47959208488464,61.4839100837708,42.8418,2.327,32.0587134361267,3.09877991676331,22.9221227169037
1,13.2529897689819,11.4861061573029,1.37487125396729,47.3597223758698,43.3938,2.322,32.4224412441254,3.09418129920959,23.0473673343658
2,13.3479533195496,11.3294341564178,1.49066829681396,47.073447227478,45.0677,2.328,31.9711129665375,3.08401203155518,22.9055354595184
3,13.3888711929321,11.3654637336731,1.40039849281311,47.0447182655335,46.089,2.331,31.6638083457947,3.09273982048035,22.9501578807831
4,13.4475150108337,11.5431258678436,1.47814297676086,47.6109549999237,43.2681,2.33,32.068794965744,3.10823726654053,23.219172000885
5,13.3110942840576,11.4986085891724,1.44894742965698,48.084132194519,43.6884,2.333,31.7004873752594,3.08530950546265,23.0837836265564
6,13.0547223091126,11.4355752468109,1.37145638465881,47.5996401309967,43.117,2.323,32.1085603237152,3.1054253578186,23.1010367870331
7,12.5282778739929,11.2878730297089,1.40499186515808,46.696718454361,42.2272,2.325,31.9147236347198,3.10190105438232,23.2231056690216
8,13.6559157371521,13.5184571743011,1.43978476524353,46.675416469574,42.6823,2.332,31.5027685165405,3.08849191665649,23.1841831207275
9,12.4718234539032,11.1832304000854,1.5352246761322,46.5877435207367,42.5747,2.329,30.3529033660889,3.09625935554504,23.153491973877
