,script_name,size,time
33,brian_LIF_gpu.py,500,0.011
27,brian_LIF_gpu.py,250,0.01
21,brian_LIF_gpu.py,100,0.011
15,brian_LIF_gpu.py,50,0.01
9,brian_LIF_gpu.py,20,0.01
3,brian_LIF_gpu.py,10,0.009
194,brian_LIF_cpp.py,10000,33.2441
183,brian_LIF_cpp.py,9000,23.048
172,brian_LIF_cpp.py,8000,16.4521
161,brian_LIF_cpp.py,7000,12.3233
150,brian_LIF_cpp.py,6000,8.07321
139,brian_LIF_cpp.py,5000,4.7692
128,brian_LIF_cpp.py,4000,2.91374
117,brian_LIF_cpp.py,3000,1.43621
106,brian_LIF_cpp.py,2000,0.520222
95,brian_LIF_cpp.py,1500,0.274374
84,brian_LIF_cpp.py,1000,0.117547
73,brian_LIF_cpp.py,750,0.039611
62,brian_LIF_cpp.py,500,0.019431
51,brian_LIF_cpp.py,250,0.0059
40,brian_LIF_cpp.py,100,0.00278
29,brian_LIF_cpp.py,50,0.002127
18,brian_LIF_cpp.py,20,0.001777
7,brian_LIF_cpp.py,10,0.001659
106,annarchy_LIF_cuda.py,10000,0.669594526290894
100,annarchy_LIF_cuda.py,9000,0.4892418384552
94,annarchy_LIF_cuda.py,8000,0.36532735824585
88,annarchy_LIF_cuda.py,7000,0.273907661437988
82,annarchy_LIF_cuda.py,6000,0.201886892318725
76,annarchy_LIF_cuda.py,5000,0.145565986633301
70,annarchy_LIF_cuda.py,4000,0.09911036491394
64,annarchy_LIF_cuda.py,3000,0.06517219543457
58,annarchy_LIF_cuda.py,2000,0.038658618927002
52,annarchy_LIF_cuda.py,1500,0.028459548950195
46,annarchy_LIF_cuda.py,1000,0.018688201904297
40,annarchy_LIF_cuda.py,750,0.015276908874512
34,annarchy_LIF_cuda.py,500,0.012583017349243
28,annarchy_LIF_cuda.py,250,0.009704351425171
22,annarchy_LIF_cuda.py,100,0.008342504501343
16,annarchy_LIF_cuda.py,50,0.007869482040405
10,annarchy_LIF_cuda.py,20,0.005467653274536
4,annarchy_LIF_cuda.py,10,0.005021333694458
192,annarchy_LIF_cpu.py,10000,7.39993906021118
181,annarchy_LIF_cpu.py,9000,5.22030305862427
170,annarchy_LIF_cpu.py,8000,3.82714605331421
159,annarchy_LIF_cpu.py,7000,2.77754306793213
148,annarchy_LIF_cpu.py,6000,1.94999003410339
137,annarchy_LIF_cpu.py,5000,1.28364706039429
126,annarchy_LIF_cpu.py,4000,0.754079341888428
115,annarchy_LIF_cpu.py,3000,0.33330512046814
104,annarchy_LIF_cpu.py,2000,0.117094755172729
93,annarchy_LIF_cpu.py,1500,0.066404342651367
82,annarchy_LIF_cpu.py,1000,0.031495809555054
71,annarchy_LIF_cpu.py,750,0.020776987075806
60,annarchy_LIF_cpu.py,500,0.012068271636963
49,annarchy_LIF_cpu.py,250,0.005769014358521
38,annarchy_LIF_cpu.py,100,0.003175735473633
27,annarchy_LIF_cpu.py,50,0.002723455429077
16,annarchy_LIF_cpu.py,20,0.002453327178955
5,annarchy_LIF_cpu.py,10,0.00229811668396
