,brian_LIF_gpu.py,annarchy_LIF_cuda.py,pymonntorch_fast_LIF_cuda.py,annarchy_LIF_cpu.py,brian_LIF.py,brian_LIF_cpp.py,nest_native_LIF.py,pymonnto_fast_LIF.py,pymonntorch_fast_LIF_cpu.py
0,0.074,0.050802946090698,0.256476879119873,0.196876287460327,1.41984176635742,0.914798,2.5144031047821,0.080594778060913,0.151371955871582
1,0.073,0.051049470901489,0.257811307907104,0.200243234634399,1.46227383613586,0.932898,2.51686239242554,0.077375650405884,0.151748418807983
2,0.074,0.050709486007691,0.299241065979004,0.196833610534668,1.42524981498718,0.946829,2.50169134140015,0.07849645614624,0.152805089950562
3,0.074,0.050663948059082,0.252613067626953,0.208306789398193,1.48724889755249,0.925169,2.53274703025818,0.076248645782471,0.152091979980469
4,0.074,0.050802946090698,0.2475266456604,0.203342199325562,1.39354181289673,0.934323,2.52072978019714,0.078770875930786,0.152150630950928
5,0.074,0.05066180229187,0.248262166976929,0.199752330780029,1.62578511238098,0.915399,2.50135803222656,0.076846361160278,0.151061534881592
6,0.074,0.05080771446228,0.254091501235962,0.200431823730469,1.40325784683228,0.923342,2.51696085929871,0.078199863433838,0.151915311813355
7,0.074,0.051196575164795,0.248574018478394,0.195598363876343,1.42033195495605,0.932954,2.47074627876282,0.077500343322754,0.153796911239624
8,0.073,0.050764322280884,0.254528760910034,0.197114706039429,1.43398404121399,0.934465,2.49004602432251,0.077588081359863,0.150712251663208
9,0.073,0.05105471611023,0.244259357452393,0.197295188903809,1.41916584968567,0.948523,2.47943687438965,0.079105138778687,0.154534339904785
