,brian_LIF_cpp.py,brian_LIF_gpu.py,brian_LIF.py,nest_native_LIF.py,pymonnto_fast_LIF.py,pymonntorch_fast_LIF_cpu.py,pymonntorch_fast_LIF_cuda.py
0,1.69082,0.418,2.99281787872314,1.61743593215942,0.07109808921814,0.083888053894043,0.087311744689941
1,1.65526,0.429,3.16571068763733,1.74063086509705,0.070404052734375,0.071478605270386,0.088854789733887
2,1.69382,0.419,3.18766570091248,1.5859649181366,0.065696477890015,0.071193695068359,0.088450431823731
3,1.72043,0.423,3.19189047813416,1.57818675041199,0.066808462142944,0.070628166198731,0.087513685226441
4,1.71997,0.431,3.1005539894104,1.61596727371216,0.068302631378174,0.068962574005127,0.087625026702881
5,1.56293,0.427,3.20218443870544,1.67654728889465,0.080442667007446,0.072782278060913,0.087465763092041
6,1.78403,0.426,3.13672971725464,1.59442377090454,0.064531087875366,0.079471111297608,0.086990833282471
7,1.80724,0.425,3.39139771461487,1.56792068481445,0.069695234298706,0.083821296691895,0.087417840957642
8,2.22378,0.422,3.60942625999451,1.60432124137878,0.069738626480103,0.069852590560913,0.086910009384155
9,2.10281,0.422,3.58763909339905,1.55038809776306,0.06676721572876,0.070920467376709,0.101863622665405
