,brian_izh_cpp.py,brian_izh_cuda.py,brian_izh.py,pymonnto_izh.py,pymonntorch_izh_cpu.py,pymonntorch_izh_cuda.py,pynn_nest_izh.py
0,2.73665,0.587,3.40187406539917,,,,
1,2.76677,0.589,3.3913161754608154,,,,
2,2.68666,0.586,3.43860936164856,,,,
3,2.7,0.589,3.376770496368408,,,,
4,2.72428,0.587,3.40334415435791,,,,
5,2.70662,0.594,3.3597636222839355,,,,
6,2.69723,0.585,3.437046766281128,,,,
7,2.66898,0.588,3.4693284034729004,,,,
8,2.75134,0.584,3.3748443126678467,,,,
9,2.71715,0.588,3.392453670501709,,,,
10,,,,0.7288095951080322,0.6934976577758789,0.42359328269958496,2.928839921951294
11,,,,0.7494716644287109,0.6877269744873047,0.42424774169921875,2.962613344192505
12,,,,0.753711462020874,0.704700231552124,0.44982171058654785,2.9339535236358643
13,,,,0.7369177341461182,0.6918816566467285,0.4398763179779053,2.9271223545074463
14,,,,0.7495899200439453,0.6980571746826172,0.4284780025482178,2.954747438430786
15,,,,0.7403354644775391,0.667588472366333,0.43569350242614746,2.9077141284942627
16,,,,0.7434749603271484,0.6884169578552246,0.42766237258911133,2.97074031829834
17,,,,0.732332706451416,0.6908788681030273,0.4119277000427246,2.966693878173828
18,,,,0.7312390804290771,0.6948294639587402,0.42836594581604004,2.9018075466156006
19,,,,0.7591090202331543,0.6907415390014648,0.4214949607849121,2.936439037322998
