,pymonnto_izh.py,pymonntorch_izh_cpu.py,pymonntorch_izh_cuda.py,pynn_nest_izh.py
0,0.7164504528045654,0.7141187191009521,0.44125866889953613,3.4029102325439453
1,0.723466157913208,0.7119410037994385,0.438762903213501,3.3506412506103516
2,0.746509313583374,0.7168412208557129,0.4420166015625,3.446017026901245
3,0.7448573112487793,0.7061083316802979,0.45046091079711914,3.3194878101348877
4,0.7344570159912109,0.7526586055755615,0.43489694595336914,3.3614883422851562
5,0.7363955974578857,0.7368922233581543,0.4307820796966553,3.3753750324249268
6,0.7491006851196289,0.7278525829315186,0.4436674118041992,3.3746936321258545
7,0.7495548725128174,0.7084784507751465,0.4566493034362793,3.402956247329712
8,0.7403678894042969,0.7105922698974609,0.43706464767456055,3.4588170051574707
9,0.7452819347381592,0.690709114074707,0.47315406799316406,3.377995252609253
